date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,nifty_range,nifty_pct_chg,vix_range,vix_pct_chg,nifty_direction,vix_regime
2025-11-14,25767.9,25940.2,25740.8,25916.8,12.16,12.45,11.8,11.93,199.40000000000146,0.5778507367693919,0.6499999999999986,-1.8914473684210509,UP,Low
2025-11-17,25948.2,26024.2,25906.35,26014.3,11.94,12.28,10.9,11.78,117.85000000000218,0.2547382862780445,1.379999999999999,-1.340033500837523,UP,Low
2025-11-18,26021.8,26029.85,25876.5,25894.7,11.79,12.29,10.94,12.06,153.34999999999854,-0.4884366185275324,1.3499999999999996,2.2900763358778775,DOWN,Normal
2025-11-19,25918.1,26074.65,25856.2,26052.7,12.1,12.38,10.77,12.0,218.45000000000073,0.5193281914955161,1.6100000000000012,-0.8264462809917328,UP,Normal
2025-11-20,26132.1,26246.65,26063.2,26197.4,11.97,12.38,11.06,12.14,183.45000000000073,0.2498842419859315,1.3200000000000003,1.4202172096908994,UP,Normal
2025-11-21,26109.55,26179.2,26052.2,26063.95,12.14,13.85,12.14,13.43,127.0,-0.17464873963740635,1.709999999999999,10.626029654036229,DOWN,Normal
2025-11-24,26122.8,26142.8,25912.15,25943.35,13.63,13.63,11.94,13.19,230.64999999999782,-0.6869478003889373,1.6900000000000013,-3.228173147468827,DOWN,Normal
2025-11-25,25998.5,26032.6,25857.5,25860.3,13.24,13.24,10.86,12.16,175.09999999999854,-0.5315691289882185,2.380000000000001,-8.157099697885196,DOWN,Normal
2025-11-26,25842.95,26215.15,25842.95,26203.5,12.24,12.57,11.59,12.02,372.2000000000007,1.3951580605155334,0.9800000000000004,-1.7973856209150374,UP,Normal
2025-11-27,26261.25,26310.45,26141.9,26219.85,11.97,12.24,11.51,11.55,168.54999999999927,-0.15764672283308245,0.7300000000000004,-3.508771929824561,DOWN,Low
2025-11-28,26237.45,26280.75,26172.4,26204.55,11.79,11.79,10.82,11.59,108.34999999999854,-0.1253932832649518,0.9699999999999989,-1.6963528413910023,DOWN,Low
2025-12-01,26325.8,26325.8,26124.2,26175.95,11.62,12.01,10.9,11.58,201.59999999999854,-0.569213471195551,1.1099999999999994,-0.344234079173833,DOWN,Low
2025-12-02,26087.95,26154.6,25997.85,26057.0,11.63,11.94,11.03,11.12,156.75,-0.11863714856858998,0.9100000000000001,-4.385210662080841,DOWN,Low
2025-12-03,26004.9,26066.45,25891.0,25985.1,11.23,11.37,10.92,11.28,175.45000000000073,-0.07613949678715315,0.4499999999999993,0.44523597506678225,FLAT,Low
2025-12-04,25981.85,26098.25,25938.95,26017.1,11.21,11.27,10.58,10.8,159.29999999999927,0.13567163231256174,0.6899999999999995,-3.6574487065120453,UP,Low
2025-12-05,25999.8,26202.6,25985.35,26176.65,10.82,10.87,10.16,10.34,217.25,0.6801975399810756,0.7099999999999991,-4.436229205175602,UP,Low
2025-12-08,26159.8,26178.7,25892.25,25932.8,10.32,11.61,10.14,11.02,286.4500000000007,-0.867743637183771,1.4699999999999989,6.782945736434098,DOWN,Low
2025-12-09,25867.1,25923.65,25728.0,25841.75,11.13,11.88,10.46,10.98,195.65000000000146,-0.09800093555133449,1.42,-1.3477088948787075,FLAT,Low
2025-12-10,25864.05,25947.65,25734.55,25742.65,10.95,11.42,10.49,11.0,213.10000000000218,-0.46937737902609245,0.9299999999999997,0.4566210045662267,DOWN,Low
2025-12-11,25771.4,25922.8,25693.25,25898.4,10.91,11.19,10.32,10.53,229.54999999999927,0.4927943379094746,0.8699999999999992,-3.4830430797433642,UP,Low
2025-12-12,25971.2,26057.6,25938.45,26043.0,10.4,10.4,9.96,10.07,119.14999999999782,0.2764600788565774,0.4399999999999995,-3.173076923076923,UP,Low
