date,weekday,day_open,day_high,day_low,day_close,prev_close,prev_high,prev_low,pivot_PP,pivot_R1,pivot_S1,pivot_R2,pivot_S2,pivot_R3,pivot_S3,cam_R1,cam_S1,cam_R2,cam_S2,cam_R3,cam_S3,cam_R4,cam_S4,or15_high,or15_low,or30_high,or30_low
2026-02-23,Monday,25678.4,25771.45,25609.35,25704.0,25565.9,25663.55,25379.75,25536.4,25693.05,25409.25,25820.2,25252.6,25976.85,25125.45,25591.92,25539.89,25617.93,25513.87,25643.94,25487.86,25721.99,25409.81,25771.45,25626.5,25771.45,25626.5
2026-02-24,Tuesday,25641.8,25641.8,25327.6,25460.25,25704.0,25771.45,25609.35,25694.93,25780.52,25618.42,25857.03,25532.83,25942.62,25456.32,25718.86,25689.14,25733.72,25674.28,25748.58,25659.42,25793.16,25614.84,25641.8,25533.5,25641.8,25482.85
2026-02-25,Wednesday,25512.6,25652.6,25428.2,25478.65,25460.25,25641.8,25327.6,25476.55,25625.5,25311.3,25790.75,25162.35,25939.7,24997.1,25489.05,25431.45,25517.85,25402.65,25546.65,25373.85,25633.06,25287.44,25594.95,25507.9,25594.95,25507.9
2026-02-26,Thursday,25556.3,25572.95,25400.95,25493.3,25478.65,25652.6,25428.2,25519.82,25611.43,25387.03,25744.22,25295.42,25835.83,25162.63,25499.22,25458.08,25519.79,25437.51,25540.36,25416.94,25602.07,25355.23,25567.6,25487.85,25567.6,25487.85
2026-02-27,Friday,25459.85,25476.4,25141.3,25181.8,25493.3,25572.95,25400.95,25489.07,25577.18,25405.18,25661.07,25317.07,25749.18,25233.18,25509.07,25477.53,25524.83,25461.77,25540.6,25446.0,25587.9,25398.7,25476.4,25363.0,25476.4,25351.2
2026-03-02,Monday,24659.25,24989.35,24603.5,24849.75,25181.8,25476.4,25141.3,25266.5,25391.7,25056.6,25601.6,24931.4,25726.8,24721.5,25212.52,25151.08,25243.24,25120.36,25273.95,25089.65,25366.1,24997.49,24958.8,24645.1,24977.6,24645.1
2026-03-04,Wednesday,24388.8,24602.45,24305.4,24473.95,24849.75,24989.35,24603.5,24814.2,25024.9,24639.05,25200.05,24428.35,25410.75,24253.2,24885.12,24814.38,24920.49,24779.01,24955.86,24743.64,25061.97,24637.53,24476.95,24315.45,24476.95,24315.45
2026-03-05,Thursday,24615.95,24854.2,24529.4,24737.45,24473.95,24602.45,24305.4,24460.6,24615.8,24318.75,24757.65,24163.55,24912.85,24021.7,24501.18,24446.72,24528.41,24419.49,24555.64,24392.26,24637.33,24310.57,24651.95,24549.1,24651.95,24530.05
2026-03-06,Friday,24656.4,24700.9,24415.75,24469.4,24737.45,24854.2,24529.4,24707.02,24884.63,24559.83,25031.82,24382.22,25209.43,24235.03,24767.22,24707.68,24797.0,24677.9,24826.77,24648.13,24916.09,24558.81,24700.9,24587.15,24700.9,24587.15
2026-03-09,Monday,23868.05,24078.15,23697.8,24005.8,24469.4,24700.9,24415.75,24528.68,24641.62,24356.47,24813.83,24243.53,24926.77,24071.32,24495.54,24443.26,24521.68,24417.12,24547.82,24390.98,24626.23,24312.57,23959.7,23697.8,23959.7,23697.8
